Time,Body,RA,Dec,Distance_AU,Altitude_deg,Azimuth_deg
2025-10-05 16:57:04,Mars,14h 25m 10.72s,"-14deg 31' 34.9""",2.367049965420556,9.89901420253005,230.81855815879842
2025-10-05 16:57:04,Jupiter,07h 37m 50.77s,"+21deg 33' 47.2""",5.264509970420086,-13.48503888384054,335.12447193170635
2025-10-05 16:57:04,Saturn,23h 53m 09.21s,"-03deg 28' 36.8""",8.578287348418899,-2.5199849423839527,92.18747647808055
2025-10-05 16:57:04,Uranus,03h 54m 34.38s,"+20deg 05' 52.1""",18.82714685438299,-13.728797718656756,28.64455132145428
2025-10-05 16:57:04,Neptune,00h 02m 25.04s,"-01deg 14' 10.4""",28.909622048412178,-2.2076249628013973,88.9789542116368
2025-10-05 16:57:04,Pluto,20h 16m 34.50s,"-23deg 37' 02.0""",35.02919326904015,8.652383032123767,147.18015259338182
2025-10-05 16:57:15,Sun,12h 45m 26.12s,"-04deg 52' 46.1""",0.9998930323875096,3.999649348508502,256.76564552850414
2025-10-05 16:57:15,Moon,23h 31m 40.26s,"-02deg 36' 14.2""",0.002450371690856705,0.5278970589412065,95.8774971290941
2025-10-05 16:57:15,Mercury,13h 43m 35.32s,"-11deg 26' 00.7""",1.3371486370457526,7.125029553313515,241.19668112681615
2025-10-05 16:57:15,Venus,11h 23m 37.66s,"+05deg 25' 41.9""",1.5254288972955505,-0.5439288775144302,279.2037431537395
2025-10-05 16:57:15,Mars,14h 25m 10.74s,"-14deg 31' 35.0""",2.3670502182130027,9.878760591639933,230.85422869462496
2025-10-05 16:57:15,Jupiter,07h 37m 50.77s,"+21deg 33' 47.2""",5.264508205068803,-13.496025157665562,335.1630208393057
2025-10-05 16:57:15,Saturn,23h 53m 09.21s,"-03deg 28' 36.8""",8.578287854892034,-2.493861452683549,92.22031255993427
2025-10-05 16:57:15,Uranus,03h 54m 34.38s,"+20deg 05' 52.1""",18.827145378008794,-13.716258600637806,28.683026960118795
2025-10-05 16:57:15,Neptune,00h 02m 25.04s,"-01deg 14' 10.4""",28.909622501554956,-2.181487622829771,89.01184667706559
2025-10-05 16:57:15,Pluto,20h 16m 34.50s,"-23deg 37' 02.0""",35.02919524198945,8.66654434938818,147.21637132006077
2025-10-05 16:57:25,Sun,12h 45m 26.14s,"-04deg 52' 46.3""",0.999892998796745,3.974219158286081,256.79883721313007
2025-10-05 16:57:25,Moon,23h 31m 40.62s,"-02deg 36' 11.3""",0.0024503681529369804,0.5536258410934011,95.90879158971245
2025-10-05 16:57:25,Mercury,13h 43m 35.36s,"-11deg 26' 01.0""",1.3371477358223554,7.1021356024294,241.23096193711163
2025-10-05 16:57:25,Venus,11h 23m 37.70s,"+05deg 25' 41.7""",1.5254293708164068,-0.5697035500855692,279.236531437845
2025-10-05 16:57:25,Mars,14h 25m 10.76s,"-14deg 31' 35.1""",2.3670504711124503,9.85848810296377,230.88990620874034
2025-10-05 16:57:25,Jupiter,07h 37m 50.77s,"+21deg 33' 47.2""",5.264506438965461,-13.507000141219628,335.20159273961355
2025-10-05 16:57:25,Saturn,23h 53m 09.20s,"-03deg 28' 36.8""",8.578288361584752,-2.4677274236118434,92.25316242988423
2025-10-05 16:57:25,Uranus,03h 54m 34.38s,"+20deg 05' 52.1""",18.827143901008814,-13.703698735515971,28.721511594803513
2025-10-05 16:57:25,Neptune,00h 02m 25.04s,"-01deg 14' 10.4""",28.90962295489461,-2.1553388977311063,89.04475236609339
2025-10-05 16:57:25,Pluto,20h 16m 34.50s,"-23deg 37' 02.0""",35.02919721577985,8.680697792055106,147.25261238805993
2025-10-05 16:57:35,Sun,12h 45m 26.17s,"-04deg 52' 46.5""",0.9998929652049671,3.94878473899963,256.8320262348853
2025-10-05 16:57:35,Moon,23h 31m 40.97s,"-02deg 36' 08.4""",0.002450364615020345,0.5793542205474942,95.94008856821131
2025-10-05 16:57:35,Mercury,13h 43m 35.40s,"-11deg 26' 01.3""",1.3371468345651856,7.079233457002244,241.2652369980084
2025-10-05 16:57:35,Venus,11h 23m 37.73s,"+05deg 25' 41.5""",1.525429844351205,-0.5954766220958868,279.2693227609006
2025-10-05 16:57:35,Mars,14h 25m 10.78s,"-14deg 31' 35.2""",2.3670507240190606,9.838204742693122,230.92557661735376
2025-10-05 16:57:35,Jupiter,07h 37m 50.78s,"+21deg 33' 47.2""",5.2645046728072655,-13.517959483265068,335.24017240420517
2025-10-05 16:57:35,Saturn,23h 53m 09.20s,"-03deg 28' 36.8""",8.578288868297015,-2.4415931811264384,92.28601313328929
2025-10-05 16:57:35,Uranus,03h 54m 34.38s,"+20deg 05' 52.1""",18.82714242396614,-13.691123079646012,28.759990023638814
2025-10-05 16:57:35,Neptune,00h 02m 25.04s,"-01deg 14' 10.4""",28.909623408252166,-2.129189118732204,89.07765830169598
2025-10-05 16:57:35,Pluto,20h 16m 34.50s,"-23deg 37' 02.0""",35.029199189632166,8.694837754912989,147.2888614935747
2025-10-05 16:57:45,Sun,12h 45m 26.19s,"-04deg 52' 46.6""",0.9998929315845292,3.9233251617255673,256.8652399173311
2025-10-05 16:57:45,Moon,23h 31m 41.33s,"-02deg 36' 05.5""",0.0024503610741950285,0.605103363435738,95.97141383732023
2025-10-05 16:57:45,Mercury,13h 43m 35.44s,"-11deg 26' 01.5""",1.3371459325324744,7.056304267632725,241.29953451958275
2025-10-05 16:57:45,Venus,11h 23m 37.76s,"+05deg 25' 41.3""",1.5254303182896787,-0.6212692937690923,279.3021441269169
2025-10-05 16:57:45,Mars,14h 25m 10.80s,"-14deg 31' 35.3""",2.367050977140982,9.8178938136601,230.96126927367212
2025-10-05 16:57:45,Jupiter,07h 37m 50.78s,"+21deg 33' 47.2""",5.2645029051406205,-13.528912174745981,335.27879158811754
2025-10-05 16:57:45,Saturn,23h 53m 09.20s,"-03deg 28' 36.8""",8.578289375445882,-2.4154372253783687,92.31889172069668
2025-10-05 16:57:45,Uranus,03h 54m 34.38s,"+20deg 05' 52.1""",18.82714094566513,-13.678521271100491,28.798493901510835
2025-10-05 16:57:45,Neptune,00h 02m 25.04s,"-01deg 14' 10.4""",28.90962386200075,-2.1030167721242354,89.11059157915372
2025-10-05 16:57:45,Pluto,20h 16m 34.50s,"-23deg 37' 02.0""",35.02920116517094,8.708975848761114,147.32514847823296
2025-10-05 16:57:55,Sun,12h 45m 26.22s,"-04deg 52' 46.8""",0.9998928979524693,3.8978533318124953,256.8984614344871
2025-10-05 16:57:55,Moon,23h 31m 41.69s,"-02deg 36' 02.6""",0.0024503575322561205,0.6308602107268567,96.00275153694501
2025-10-05 16:57:55,Mercury,13h 43m 35.48s,"-11deg 26' 01.8""",1.3371450301813512,7.03335965076981,241.33383711776528
2025-10-05 16:57:55,Venus,11h 23m 37.79s,"+05deg 25' 41.1""",1.5254307923916377,-0.647068480751884,279.3349789192106
2025-10-05 16:57:55,Mars,14h 25m 10.82s,"-14deg 31' 35.4""",2.367051230349934,9.797565600999047,230.99696608063735
2025-10-05 16:57:55,Jupiter,07h 37m 50.78s,"+21deg 33' 47.2""",5.264501136861354,-13.539852628452596,335.31743072553473
2025-10-05 16:57:55,Saturn,23h 53m 09.20s,"-03deg 28' 36.9""",8.578289882774335,-2.3892728216001893,92.35178154304303
2025-10-05 16:57:55,Uranus,03h 54m 34.38s,"+20deg 05' 52.1""",18.827139466854966,-13.665899677253659,28.837003697624983
2025-10-05 16:57:55,Neptune,00h 02m 25.04s,"-01deg 14' 10.4""",28.90962431591042,-2.076835129974519,89.14353552068424
2025-10-05 16:57:55,Pluto,20h 16m 34.50s,"-23deg 37' 02.0""",35.02920314139498,8.723104875150172,147.36145496303843
2025-10-05 16:58:05,Sun,12h 45m 26.24s,"-04deg 52' 46.9""",0.9998928643130299,3.872372468074715,256.93168660591334
2025-10-05 16:58:05,Moon,23h 31m 42.04s,"-02deg 35' 59.7""",0.0024503539896499815,0.6566215051330159,96.03409772812701
2025-10-05 16:58:05,Mercury,13h 43m 35.52s,"-11deg 26' 02.1""",1.3371441276256257,7.010402503780654,241.3681404699137
2025-10-05 16:58:05,Venus,11h 23m 37.82s,"+05deg 25' 40.9""",1.5254312665972842,-0.6728709182903067,279.3678230111597
2025-10-05 16:58:05,Mars,14h 25m 10.83s,"-14deg 31' 35.5""",2.367051483613978,9.777222670277956,231.03266253513507
2025-10-05 16:58:05,Jupiter,07h 37m 50.79s,"+21deg 33' 47.2""",5.264499368192504,-13.55077944312395,335.3560849425016
2025-10-05 16:58:05,Saturn,23h 53m 09.20s,"-03deg 28' 36.9""",8.578290390218392,-2.363103279094243,92.38467846548366
2025-10-05 16:58:05,Uranus,03h 54m 34.37s,"+20deg 05' 52.1""",18.82713798772218,-13.653259885666518,28.875514544243302
2025-10-05 16:58:05,Neptune,00h 02m 25.04s,"-01deg 14' 10.4""",28.909624769923937,-2.050647503085734,89.17648598417452
2025-10-05 16:58:05,Pluto,20h 16m 34.50s,"-23deg 37' 02.0""",35.02920511805504,8.737223031758198,147.39777637282384
2025-10-05 16:58:15,Sun,12h 45m 26.27s,"-04deg 52' 47.1""",0.9998928306822205,3.8468947064462005,256.9648996322788
2025-10-05 16:58:15,Moon,23h 31m 42.40s,"-02deg 35' 56.8""",0.0024503504480627926,0.6823749789249086,96.06543750491022
2025-10-05 16:58:15,Mercury,13h 43m 35.56s,"-11deg 26' 02.4""",1.3371432252948412,6.987443762487274,241.40242826056374
2025-10-05 16:58:15,Venus,11h 23m 37.86s,"+05deg 25' 40.7""",1.5254317406809337,-0.6986643180399363,279.40066078465856
2025-10-05 16:58:15,Mars,14h 25m 10.85s,"-14deg 31' 35.5""",2.3670517368125834,9.756874713872865,231.06834165535835
2025-10-05 16:58:15,Jupiter,07h 37m 50.79s,"+21deg 33' 47.2""",5.2644975999758135,-13.561687411649217,335.3947358364468
2025-10-05 16:58:15,Saturn,23h 53m 09.19s,"-03deg 28' 36.9""",8.578290897536544,-2.3369410610305748,92.41756684548562
2025-10-05 16:58:15,Uranus,03h 54m 34.37s,"+20deg 05' 52.1""",18.827136508970714,-13.640607921367602,28.91400810961258
2025-10-05 16:58:15,Neptune,00h 02m 25.04s,"-01deg 14' 10.4""",28.909625223825223,-2.0244663633205837,89.20942730170202
2025-10-05 16:58:15,Pluto,20h 16m 34.50s,"-23deg 37' 02.0""",35.02920709421036,8.751323591901896,147.4340954194928
2025-10-05 16:58:25,Sun,12h 45m 26.29s,"-04deg 52' 47.3""",0.999892797080236,3.8214353606448817,256.9980805885507
2025-10-05 16:58:25,Moon,23h 31m 42.76s,"-02deg 35' 53.9""",0.0024503469096211886,0.7081051619872896,96.09675205777927
2025-10-05 16:58:25,Mercury,13h 43m 35.60s,"-11deg 26' 02.6""",1.3371423237308484,6.9644972354727965,241.43667992137233
2025-10-05 16:58:25,Venus,11h 23m 37.89s,"+05deg 25' 40.5""",1.5254322143579058,-0.7244331868218415,279.433472530619
2025-10-05 16:58:25,Mars,14h 25m 10.87s,"-14deg 31' 35.6""",2.367051989793706,9.736533977788147,231.10398203644507
2025-10-05 16:58:25,Jupiter,07h 37m 50.79s,"+21deg 33' 47.2""",5.264495833273076,-13.572570003012428,335.4333601810328
2025-10-05 16:58:25,Saturn,23h 53m 09.19s,"-03deg 28' 36.9""",8.578291404424151,-2.3108018850883716,92.45042694785543
2025-10-05 16:58:25,Uranus,03h 54m 34.37s,"+20deg 05' 52.1""",18.827135031488545,-13.627951416093053,28.952461287082276
2025-10-05 16:58:25,Neptune,00h 02m 25.04s,"-01deg 14' 10.5""",28.909625677341705,-1.9983074411649822,89.2423397073295
2025-10-05 16:58:25,Pluto,20h 16m 34.50s,"-23deg 37' 02.0""",35.02920906867432,8.765398103358704,147.47039028061272
2025-10-05 16:58:35,Sun,12h 45m 26.32s,"-04deg 52' 47.4""",0.9998927634702471,3.795966538237772,257.031265858721
2025-10-05 16:58:35,Moon,23h 31m 43.11s,"-02deg 35' 51.0""",0.0024503433704464927,0.7338402493083002,96.12807571961996
2025-10-05 16:58:35,Mercury,13h 43m 35.63s,"-11deg 26' 02.9""",1.3371414219455002,6.941537788957993,241.47093300962084
2025-10-05 16:58:35,Venus,11h 23m 37.92s,"+05deg 25' 40.3""",1.5254326881473699,-0.7502057620469498,279.4662942232193
2025-10-05 16:58:35,Mars,14h 25m 10.89s,"-14deg 31' 35.7""",2.367052242834623,9.716178187417656,231.13962275568915
2025-10-05 16:58:35,Jupiter,07h 37m 50.80s,"+21deg 33' 47.2""",5.264494066147914,-13.583439152186916,335.4720002980823
2025-10-05 16:58:35,Saturn,23h 53m 09.19s,"-03deg 28' 36.9""",8.578291911436777,-2.2846571096710497,92.48329480241485
2025-10-05 16:58:35,Uranus,03h 54m 34.37s,"+20deg 05' 52.1""",18.82713355365628,-13.61527652072876,28.99091622573581
2025-10-05 16:58:35,Neptune,00h 02m 25.04s,"-01deg 14' 10.5""",28.909626130970437,-1.9721420741988798,89.2752592888132
2025-10-05 16:58:35,Pluto,20h 16m 34.50s,"-23deg 37' 02.0""",35.02921104361098,8.779461997016233,147.5067007287197
2025-10-05 16:58:45,Sun,12h 45m 26.35s,"-04deg 52' 47.6""",0.9998927298468733,3.7704841672283314,257.0644607653636
2025-10-05 16:58:45,Moon,23h 31m 43.47s,"-02deg 35' 48.1""",0.0024503398299725028,0.7595843524850568,96.1594135193793
2025-10-05 16:58:45,Mercury,13h 43m 35.67s,"-11deg 26' 03.2""",1.3371405197944133,6.9185617495878295,241.50519301268352
2025-10-05 16:58:45,Venus,11h 23m 37.95s,"+05deg 25' 40.1""",1.525433162125182,-0.7759861590553588,279.49913113245503
2025-10-05 16:58:45,Mars,14h 25m 10.91s,"-14deg 31' 35.8""",2.3670524959758494,9.695804084185848,231.17526951787627
2025-10-05 16:58:45,Jupiter,07h 37m 50.80s,"+21deg 33' 47.2""",5.264492298317408,-13.594296576351915,335.510662374288
